//bot configuration: name	model	skin	shirt	pants	team	keyboard use	moving	dodging	ping	weapon use	aggressivity	range	aiming	calmhand	mouse	fightthink	aithink
//default team values (team-override): 1 = red, 2 = blue, 3 = yellow, 4 = pink
//use -1 for shirt-color or pants-color to get random colors
Hellfire	carni	0	4	0	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Toxic	carni	1	14	7	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Discovery	crash	0	2	6	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Pegasus	grunt	0	13	11	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Eureka	headhunter	0	12	7	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Airhead	insurrectionist	0	11	1	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Gator	lurk	0	3	10	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Delirium	lurk	1	8	12	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Death	lycanthrope	0	4	11	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Scorcher	marine	0	13	13	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Necrotic	nexus	0	12	14	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Dominator	nexus	1	3	9	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Thunderstorm	nexus	2	13	6	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Mystery	pyria	0	9	14	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Lion	shock	0	0	4	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Sensible	skadi	0	9	9	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Shadow	specop	0	4	8	0	1	1	1	1	1	1	1	1	2	2	0.5	1
Resurrection	visitant	0	1	1	0	1	1	1	1	1	1	1	1	2	2	0.5	1
